minute d'attente | r_quantificateur
baquet d'une capacité | r_quantificateur
seau d'une capacité | r_quantificateur
sceau d'une quantité | r_quantificateur
bidon d'une capacité | r_quantificateur
jerrycan d'une capacité | r_quantificateur
tonneau d'une capacité | r_quantificateur
fût d'une capacité | r_quantificateur
barrique d'une capacité | r_quantificateur
amphore d'une capacité | r_quantificateur
jarre d'une capacité | r_quantificateur
cruche d'une capacité | r_quantificateur
pichet d'une capacité | r_quantificateur
pot d'une capacité | r_quantificateur
récipient d'une capacité | r_quantificateur
contenant d'une capacité | r_quantificateur
conteneur d'une capacité | r_quantificateur
emballage d'une capacité | r_quantificateur
conditionnement d'une quantité | r_quantificateur
présentation d'une quantité | r_quantificateur
format d'une dimension | r_quantificateur
taille d'une dimension | r_quantificateur
dimension d'une mesure | r_quantificateur
gabarit d'une dimension | r_quantificateur
calibre d'une dimension | r_quantificateur
module d'une dimension | r_quantificateur
échelle d'une proportion | r_quantificateur
proportion d'une mesure | r_quantificateur
rapport d'une proportion | r_quantificateur
relation d'une proportion | r_quantificateur
correspondance d'une relation | r_quantificateur
équivalence d'une relation | r_quantificateur
égalité d'une relation | r_quantificateur
identité d'une relation | r_quantificateur
similitude d'une relation | r_quantificateur
ressemblance d'une relation | r_quantificateur
analogie d'une relation | r_quantificateur
parenté d'une relation | r_quantificateur
affinité d'une relation | r_quantificateur
proximité d'une distance | r_quantificateur
voisinage d'une distance | r_quantificateur
distance d'une mesure | r_quantificateur
éloignement d'une distance | r_quantificateur
écartement d'une distance | r_quantificateur
espacement d'une distance | r_quantificateur
intervalle d'une distance | r_quantificateur
séparation d'une distance | r_quantificateur
division d'une séparation | r_quantificateur
coupure d'une séparation | r_quantificateur
rupture d'une séparation | r_quantificateur
cassure d'une rupture | r_quantificateur
fracture d'une rupture | r_quantificateur
fissure d'une rupture | r_quantificateur
fente d'une ouverture | r_quantificateur
faille d'une rupture | r_quantificateur
brèche d'une ouverture | r_quantificateur
ouverture d'une dimension | r_quantificateur
fermeture d'une dimension | r_quantificateur
occlusion d'une fermeture | r_quantificateur
obturation d'une fermeture | r_quantificateur
colmatage d'une fermeture | r_quantificateur
bouchage d'une fermeture | r_quantificateur
obstruction d'une fermeture | r_quantificateur
blocage d'une obstruction | r_quantificateur
barrage d'une obstruction | r_quantificateur
digue d'une hauteur | r_quantificateur
rempart d'une hauteur | r_quantificateur
muraille d'une hauteur | r_quantificateur
fortification d'une hauteur | r_quantificateur
enceinte d'une dimension | r_quantificateur
clôture d'une dimension | r_quantificateur
palissade d'une dimension | r_quantificateur
barrière d'une dimension | r_quantificateur
grille d'une dimension | r_quantificateur
portail d'une dimension | r_quantificateur
porte d'une dimension | r_quantificateur
seuil d'une hauteur | r_quantificateur
passage d'une dimension | r_quantificateur
corridor d'une dimension | r_quantificateur
couloir d'une dimension | r_quantificateur
galerie d'une dimension | r_quantificateur
tunnel d'une dimension | r_quantificateur
souterrain d'une dimension | r_quantificateur
conduit d'une dimension | r_quantificateur
canal d'une dimension | r_quantificateur
tube d'une dimension | r_quantificateur
tuyau d'une dimension | r_quantificateur
pipe d'une dimension | r_quantificateur
conduite d'une dimension | r_quantificateur
canalisation d'une dimension | r_quantificateur
tuyauterie d'une dimension | r_quantificateur
plomberie d'une dimension | r_quantificateur
réseau d'une étendue | r_quantificateur
système d'une étendue | r_quantificateur
installation d'une étendue | r_quantificateur
équipement d'une quantité | r_quantificateur
matériel d'une quantité | r_quantificateur
outillage d'une quantité | r_quantificateur
machinerie d'une quantité | r_quantificateur
appareillage d'une quantité | r_quantificateur
dispositif d'une quantité | r_quantificateur
mécanisme d'une quantité | r_quantificateur
engin d'une quantité | r_quantificateur
machine d'une quantité | r_quantificateur
instrument d'une quantité | r_quantificateur
outil d'une quantité | r_quantificateur
ustensile d'une quantité | r_quantificateur
accessoire d'une quantité | r_quantificateur
pièce d'une quantité | r_quantificateur
élément d'une quantité | r_quantificateur
composant d'une quantité | r_quantificateur
constituant d'une quantité | r_quantificateur
ingrédient d'une quantité | r_quantificateur
composante d'une quantité | r_quantificateur
partie d'une quantité | r_quantificateur
fragment d'une quantité | r_quantificateur
morceau d'une quantité | r_quantificateur
bribe d'une quantité | r_quantificateur
lambeau d'une quantité | r_quantificateur
débris d'une quantité | r_quantificateur
reste d'une quantité | r_quantificateur
résidu d'une quantité | r_quantificateur
déchet d'une quantité | r_quantificateur
rebut d'une quantité | r_quantificateur
ordure d'une quantité | r_quantificateur
détritus d'une quantité | r_quantificateur
immondice d'une quantité | r_quantificateur
poubelle d'une quantité | r_quantificateur
décharge d'une quantité | r_quantificateur
dépotoir d'une quantité | r_quantificateur
tas d'une accumulation | r_quantificateur
amas d'une concentration | r_quantificateur
monceau d'une quantité | r_quantificateur
montagne d'une quantité | r_quantificateur
colline d'une hauteur | r_quantificateur
butte d'une hauteur | r_quantificateur
tertre d'une hauteur | r_quantificateur
monticule d'une hauteur | r_quantificateur
élévation d'une altitude | r_quantificateur
relief d'une hauteur | r_quantificateur
sommet d'une hauteur | r_quantificateur
cime d'une hauteur | r_quantificateur
pic d'une hauteur | r_quantificateur
crête d'une hauteur | r_quantificateur
faîte d'une hauteur | r_quantificateur
apogée d'une hauteur | r_quantificateur
zénith d'une hauteur | r_quantificateur
maximum d'une quantité | r_quantificateur
optimum d'une quantité | r_quantificateur
plafond d'une limite | r_quantificateur
limite d'une quantité | r_quantificateur
borne d'une limite | r_quantificateur
seuil d'une limite | r_quantificateur
plancher d'une limite | r_quantificateur
minimum d'une quantité | r_quantificateur
nadir d'une profondeur | r_quantificateur
creux d'une intensité | r_quantificateur
base d'une quantité | r_quantificateur
fond d'une profondeur | r_quantificateur
fondement d'une base | r_quantificateur
fondation d'une base | r_quantificateur
soubassement d'une base | r_quantificateur
assise d'une base | r_quantificateur
support d'une capacité | r_quantificateur
soutien d'une capacité | r_quantificateur
appui d'une capacité | r_quantificateur
étai d'une capacité | r_quantificateur
béquille d'une capacité | r_quantificateur
pilier d'une capacité | r_quantificateur
colonne d'une capacité | r_quantificateur
poteau d'une hauteur | r_quantificateur
pylône d'une hauteur | r_quantificateur
mât d'une hauteur | r_quantificateur
perche d'une longueur | r_quantificateur
barre d'une longueur | r_quantificateur
