mot1,mot2,relation
transformation,reaction r_has_causatif,r_has_causitif
mutation,radiation r_has_causatif,r_has_causitif
metamorphose,chaleur r_has_causatif,r_has_causitif
conversion,processus r_has_causatif,r_has_causitif
transmutation,alchimie r_has_causatif,r_has_causitif
changement,influence r_has_causatif,r_has_causitif
variation,fluctuation r_has_causatif,r_has_causitif
fluctuation,instabilite r_has_causatif,r_has_causitif
oscillation,variation r_has_causatif,r_has_causitif
alternance,cycle r_has_causatif,r_has_causitif
succession,rotation r_has_causatif,r_has_causitif
enchainement,logique r_has_causatif,r_has_causitif
serie,repetition r_has_causatif,r_has_causitif
suite,continuation r_has_causatif,r_has_causitif
continuation,elan r_has_causatif,r_has_causitif
prolongation,maintien r_has_causatif,r_has_causitif
persistance,inertie r_has_causatif,r_has_causitif
maintien,force r_has_causatif,r_has_causitif
conservation,protection r_has_causatif,r_has_causitif
preservation,traitement r_has_causatif,r_has_causitif
sauvegarde,copie r_has_causatif,r_has_causitif
protection,barriere r_has_causatif,r_has_causitif
defense,rempart r_has_causatif,r_has_causitif
resistance,materiau r_has_causatif,r_has_causitif
opposition,force r_has_causatif,r_has_causitif
reaction,stimulus r_has_causatif,r_has_causitif
reponse,signal r_has_causatif,r_has_causitif
reflexe,stimulus r_has_causatif,r_has_causitif
mouvement,impulsion r_has_causatif,r_has_causitif
deplacement,force r_has_causatif,r_has_causitif
translation,poussee r_has_causatif,r_has_causitif
glissement,pente r_has_causatif,r_has_causitif
coulissement,rail r_has_causatif,r_has_causitif
roulement,pente r_has_causatif,r_has_causitif
rotation,moteur r_has_causatif,r_has_causitif
pivotement,axe r_has_causatif,r_has_causitif
basculement,desequilibre r_has_causatif,r_has_causitif
renversement,choc r_has_causatif,r_has_causitif
retournement,force r_has_causatif,r_has_causitif
inversion,rotation r_has_causatif,r_has_causitif
volte face,decision r_has_causatif,r_has_causitif
demi tour,obstacle r_has_causatif,r_has_causitif
virage,volant r_has_causatif,r_has_causitif
tournant,route r_has_causatif,r_has_causitif
courbe,trace r_has_causatif,r_has_causitif
sinuosite,erosion r_has_causatif,r_has_causitif
meandre,courant r_has_causatif,r_has_causitif
detour,obstacle r_has_causatif,r_has_causitif
deviation,obstacle r_has_causatif,r_has_causitif
bifurcation,division r_has_causatif,r_has_causitif
embranchement,separation r_has_causatif,r_has_causitif
ramification,division r_has_causatif,r_has_causitif
division,separation r_has_causatif,r_has_causitif
separation,coupure r_has_causatif,r_has_causitif
scission,rupture r_has_causatif,r_has_causitif
partition,division r_has_causatif,r_has_causitif
coupure,lame r_has_causatif,r_has_causitif
section,tranchage r_has_causatif,r_has_causitif
tranche,coupe r_has_causatif,r_has_causitif
morceau,decoupe r_has_causatif,r_has_causitif
fragment,brisure r_has_causatif,r_has_causitif
eclat,fracture r_has_causatif,r_has_causitif
parcelle,division r_has_causatif,r_has_causitif
particule,broyage r_has_causatif,r_has_causitif
grain,mouture r_has_causatif,r_has_causitif
poudre,broyage r_has_causatif,r_has_causitif
farine,mouture r_has_causatif,r_has_causitif
semoule,broyage r_has_causatif,r_has_causitif
miette,emiettement r_has_causatif,r_has_causitif
brioche,cuisson r_has_causatif,r_has_causitif
croute,cuisson r_has_causatif,r_has_causitif
caramelisation,chaleur r_has_causatif,r_has_causitif
carbonisation,chaleur r_has_causatif,r_has_causitif
calcination,feu r_has_causatif,r_has_causitif
combustion,flamme r_has_causatif,r_has_causitif
ignition,etincelle r_has_causatif,r_has_causitif
embrasement,flamme r_has_causatif,r_has_causitif
inflammation,chaleur r_has_causatif,r_has_causitif
incandescence,chaleur r_has_causatif,r_has_causitif
rougeoiement,chaleur r_has_causatif,r_has_causitif
lueur,flamme r_has_causatif,r_has_causitif
clarte,lumiere r_has_causatif,r_has_causitif
luminosite,source r_has_causatif,r_has_causitif
eclat,reflet r_has_causatif,r_has_causitif
brillance,polissage r_has_causatif,r_has_causitif
lustre,cirage r_has_causatif,r_has_causitif
vernis,application r_has_causatif,r_has_causitif
patine,temps r_has_causatif,r_has_causitif
vieillissement,temps r_has_causatif,r_has_causitif
maturation,temps r_has_causatif,r_has_causitif
murissement,temps r_has_causatif,r_has_causitif
affinage,temps r_has_causatif,r_has_causitif
bonification,vieillissement r_has_causatif,r_has_causitif
amelioration,traitement r_has_causatif,r_has_causitif
perfectionnement,pratique r_has_causatif,r_has_causitif
raffinement,traitement r_has_causatif,r_has_causitif
epuration,filtration r_has_causatif,r_has_causitif
purification,distillation r_has_causatif,r_has_causitif
clarification,decantation r_has_causatif,r_has_causitif
filtration,passage r_has_causatif,r_has_causitif
tamisage,criblage r_has_causatif,r_has_causitif
criblage,secouage r_has_causatif,r_has_causitif
tri,selection r_has_causatif,r_has_causitif
selection,choix r_has_causatif,r_has_causitif
extraction,pression r_has_causatif,r_has_causitif
prelevement,extraction r_has_causatif,r_has_causitif
echantillon,prelevement r_has_causatif,r_has_causitif
specimen,collecte r_has_causatif,r_has_causitif
exemplaire,tirage r_has_causatif,r_has_causitif
copie,reproduction r_has_causatif,r_has_causitif
reproduction,impression r_has_causatif,r_has_causitif
duplication,copie r_has_causatif,r_has_causitif
replication,duplication r_has_causatif,r_has_causitif
clonage,reproduction r_has_causatif,r_has_causitif
multiplication,division r_has_causatif,r_has_causitif
proliferation,division r_has_causatif,r_has_causitif
bourgeonnement,croissance r_has_causatif,r_has_causitif
rejaillissement,choc r_has_causatif,r_has_causitif
jaillissement,pression r_has_causatif,r_has_causitif
giclee,pression r_has_causatif,r_has_causitif
jet,pression r_has_causatif,r_has_causitif
projection,force r_has_causatif,r_has_causitif
ejection,pression r_has_causatif,r_has_causitif
expulsion,force r_has_causatif,r_has_causitif
evacuation,pompage r_has_causatif,r_has_causitif
vidange,ouverture r_has_causatif,r_has_causitif
drainage,ecoulement r_has_causatif,r_has_causitif
assechement,drainage r_has_causatif,r_has_causitif
tarissement,secheresse r_has_causatif,r_has_causitif
epuisement,pompage r_has_causatif,r_has_causitif
brulure,flamme r_has_causatif,r_has_causitif
cicatrice,operation r_has_causatif,r_has_causitif
inondation,crue r_has_causatif,r_has_causitif
tache,encre r_has_causatif,r_has_causitif
carie,sucrerie r_has_causatif,r_has_causitif
rouille,humidite r_has_causatif,r_has_causitif
intoxication,bacterie r_has_causatif,r_has_causitif
fievre,infection r_has_causatif,r_has_causitif
ecorchure,branche r_has_causatif,r_has_causitif
fissure,dilatation r_has_causatif,r_has_causitif
casse,chute r_has_causatif,r_has_causitif
odeur,fermentation r_has_causatif,r_has_causitif
allergie,piqure r_has_causatif,r_has_causitif
panne,surchauffe r_has_causatif,r_has_causitif
irritation,substance r_has_causatif,r_has_causitif
pollution,combustion r_has_causatif,r_has_causitif
explosion,fuite r_has_causatif,r_has_causitif
paralysie,lesion r_has_causatif,r_has_causitif
corrosion,acidite r_has_causatif,r_has_causitif
secheresse,canicule r_has_causatif,r_has_causitif
extinction,catastrophe r_has_causatif,r_has_causitif
gelure,exposition r_has_causatif,r_has_causitif
contusion,percussion r_has_causatif,r_has_causitif
empoisonnement,toxine r_has_causatif,r_has_causitif
inflammation,blessure r_has_causatif,r_has_causitif
etouffement,fumee r_has_causatif,r_has_causitif
defaillance,usure r_has_causatif,r_has_causitif
court circuit,surcharge r_has_causatif,r_has_causitif
asphyxie,privation r_has_causatif,r_has_causitif
deshydratation,diarrhee r_has_causatif,r_has_causitif
ampoule,friction r_has_causatif,r_has_causitif
hemorragie,plaie r_has_causatif,r_has_causitif
entorse,glissade r_has_causatif,r_has_causitif
blocage,obstruction r_has_causatif,r_has_causitif
surchauffe,ventilation r_has_causatif,r_has_causitif
givre,congelation r_has_causatif,r_has_causitif
effondrement,surcharge r_has_causatif,r_has_causitif
perforation,pointe r_has_causatif,r_has_causitif
decoloration,javellisation r_has_causatif,r_has_causitif
gonflement,reaction r_has_causatif,r_has_causitif
vertige,rotation r_has_causatif,r_has_causitif
surdite,detonation r_has_causatif,r_has_causitif
cecite,projection r_has_causatif,r_has_causitif
courbature,activite r_has_causatif,r_has_causitif
convulsion,electrocution r_has_causatif,r_has_causitif
syncope,emotion r_has_causatif,r_has_causitif
commotion,deflagration r_has_causatif,r_has_causitif
necrose,privation r_has_causatif,r_has_causitif
gangrene,infection r_has_causatif,r_has_causitif
septicemie,contamination r_has_causatif,r_has_causitif
anemie,carence r_has_causatif,r_has_causitif
rachitisme,malnutrition r_has_causatif,r_has_causitif
scorbut,privation r_has_causatif,r_has_causitif
pneumonie,exposition r_has_causatif,r_has_causitif
bronchite,inhalation r_has_causatif,r_has_causitif
laryngite,irritation r_has_causatif,r_has_causitif
gastrite,intoxication r_has_causatif,r_has_causitif
ulcere,acidite r_has_causatif,r_has_causitif
cirrhose,consommation r_has_causatif,r_has_causitif
calcul,concentration r_has_causatif,r_has_causitif
kyste,obstruction r_has_causatif,r_has_causitif
tumeur,mutation r_has_causatif,r_has_causitif
metastase,proliferation r_has_causatif,r_has_causitif
thrombose,stagnation r_has_causatif,r_has_causitif
embolie,migration r_has_causatif,r_has_causitif
infarctus,occlusion r_has_causatif,r_has_causitif
attaque,hypertension r_has_causatif,r_has_causitif
hepatite,contamination r_has_causatif,r_has_causitif
meningite,propagation r_has_causatif,r_has_causitif
encephalite,piqure r_has_causatif,r_has_causitif
tetanos,blessure r_has_causatif,r_has_causitif
rage,morsure r_has_causatif,r_has_causitif
paludisme,piqure r_has_causatif,r_has_causitif
typhoide,ingestion r_has_causatif,r_has_causitif
cholera,contamination r_has_causatif,r_has_causitif
dysenterie,infection r_has_causatif,r_has_causitif
gale,contagion r_has_causatif,r_has_causitif
teigne,transmission r_has_causatif,r_has_causitif
verrue,infection r_has_causatif,r_has_causitif
herpes,transmission r_has_causatif,r_has_causitif
zona,reactivation r_has_causatif,r_has_causitif
varicelle,contagion r_has_causatif,r_has_causitif
rougeole,transmission r_has_causatif,r_has_causitif
oreillons,contagion r_has_causatif,r_has_causitif
coqueluche,infection r_has_causatif,r_has_causitif
diphterie,contamination r_has_causatif,r_has_causitif
scarlatine,infection r_has_causatif,r_has_causitif
poliomyelite,contamination r_has_causatif,r_has_causitif
grippe,contagion r_has_causatif,r_has_causitif
rhume,exposition r_has_causatif,r_has_causitif
angine,infection r_has_causatif,r_has_causitif
sinusite,inflammation r_has_causatif,r_has_causitif
otite,infection r_has_causatif,r_has_causitif
conjonctivite,irritation r_has_causatif,r_has_causitif
cataracte,degenerescence r_has_causatif,r_has_causitif
glaucome,pression r_has_causatif,r_has_causitif
myopie,deformation r_has_causatif,r_has_causitif
presbytie,degenerescence r_has_causatif,r_has_causitif
daltonisme,anomalie r_has_causatif,r_has_causitif
acouphene,lesion r_has_causatif,r_has_causitif
migraine,tension r_has_causatif,r_has_causitif
cephalee,fatigue r_has_causatif,r_has_causitif
insomnie,anxiete r_has_causatif,r_has_causitif
depression,carence r_has_causatif,r_has_causitif
psychose,intoxication r_has_causatif,r_has_causitif
demence,degenerescence r_has_causatif,r_has_causitif
amnesie,lesion r_has_causatif,r_has_causitif
aphasie,atteinte r_has_causatif,r_has_causitif
dyslexie,anomalie r_has_causatif,r_has_causitif
begaiement,lesion r_has_causatif,r_has_causitif
paralysie,atteinte r_has_causatif,r_has_causitif
hemiplegie,attaque r_has_causatif,r_has_causitif
paraplegie,lesion r_has_causatif,r_has_causitif
tetraplegie,fracture r_has_causatif,r_has_causitif
sclerose,degenerescence r_has_causatif,r_has_causitif
parkinson,degenerescence r_has_causatif,r_has_causitif
alzheimer,degenerescence r_has_causatif,r_has_causitif
epilepsie,lesion r_has_causatif,r_has_causitif
catalepsie,pathologie r_has_causatif,r_has_causitif
narcolepsie,anomalie r_has_causatif,r_has_causitif
somnambulisme,perturbation r_has_causatif,r_has_causitif
apnee,obstruction r_has_causatif,r_has_causitif
ronflement,obstruction r_has_causatif,r_has_causitif
hoquet,irritation r_has_causatif,r_has_causitif
eternuement,irritation r_has_causatif,r_has_causitif
toux,irritation r_has_causatif,r_has_causitif
crachat,infection r_has_causatif,r_has_causitif
expectoration,inflammation r_has_causatif,r_has_causitif
vomissement,intoxication r_has_causatif,r_has_causitif
diarrhee,infection r_has_causatif,r_has_causitif
constipation,deshydratation r_has_causatif,r_has_causitif
ballonnement,fermentation r_has_causatif,r_has_causitif
flatulence,digestion r_has_causatif,r_has_causitif
colique,indigestion r_has_causatif,r_has_causitif
appendicite,obstruction r_has_causatif,r_has_causitif
peritonite,perforation r_has_causatif,r_has_causitif
hernie,pression r_has_causatif,r_has_causitif
occlusion,obstruction r_has_causatif,r_has_causitif
prolapsus,faiblesse r_has_causatif,r_has_causitif
incontinence,lesion r_has_causatif,r_has_causitif
retention,obstruction r_has_causatif,r_has_causitif
calcul,precipitation r_has_causatif,r_has_causitif
cystite,infection r_has_causatif,r_has_causitif
nephrite,inflammation r_has_causatif,r_has_causitif
insuffisance,degenerescence r_has_causatif,r_has_causitif
dialyse,defaillance r_has_causatif,r_has_causitif
hypertrophie,stimulation r_has_causatif,r_has_causitif
hyperplasie,stimulation r_has_causatif,r_has_causitif
metaplasie,irritation r_has_causatif,r_has_causitif
dysplasie,mutation r_has_causatif,r_has_causitif
neoplasie,mutation r_has_causatif,r_has_causitif
carcinome,mutation r_has_causatif,r_has_causitif
sarcome,mutation r_has_causatif,r_has_causitif
lymphome,proliferation r_has_causatif,r_has_causitif
leucemie,mutation r_has_causatif,r_has_causitif
myelome,proliferation r_has_causatif,r_has_causitif
melanome,exposition r_has_causatif,r_has_causitif
basaliome,exposition r_has_causatif,r_has_causitif
naevus,proliferation r_has_causatif,r_has_causitif
keratose,exposition r_has_causatif,r_has_causitif
eczema,allergie r_has_causatif,r_has_causitif
psoriasis,inflammation r_has_causatif,r_has_causitif
urticaire,reaction r_has_causatif,r_has_causitif
dermite,irritation r_has_causatif,r_has_causitif
acne,secretion r_has_causatif,r_has_causitif
furoncle,infection r_has_causatif,r_has_causitif
abces,infection r_has_causatif,r_has_causitif
phlegmon,infection r_has_causatif,r_has_causitif
panaris,infection r_has_causatif,r_has_causitif
anthrax,infection r_has_causatif,r_has_causitif
impetigo,infection r_has_causatif,r_has_causitif
erysipele,infection r_has_causatif,r_has_causitif
cellulite,infection r_has_causatif,r_has_causitif
escarre,pression r_has_causatif,r_has_causitif
ulcere,compression r_has_causatif,r_has_causitif
escarification,incision r_has_causatif,r_has_causitif
tatouage,pigmentation r_has_causatif,r_has_causitif
cicatrice,brulure r_has_causatif,r_has_causitif
cheloide,cicatrisation r_has_causatif,r_has_causitif
keratine,synthese r_has_causatif,r_has_causitif
sebum,secretion r_has_causatif,r_has_causitif
sueur,thermoregulation r_has_causatif,r_has_causitif
transpiration,chaleur r_has_causatif,r_has_causitif
deshydratation,transpiration r_has_causatif,r_has_causitif
hyperthermie,exposition r_has_causatif,r_has_causitif
hypothermie,exposition r_has_causatif,r_has_causitif
fievre,reaction r_has_causatif,r_has_causitif
frisson,hypothermie r_has_causatif,r_has_causitif
tremblement,hypothermie r_has_causatif,r_has_causitif
claquement,contraction r_has_causatif,r_has_causitif
contracture,contraction r_has_causatif,r_has_causitif
spasme,irritation r_has_causatif,r_has_causitif
crampe,carence r_has_causatif,r_has_causitif
tetanie,carence r_has_causatif,r_has_causitif
myalgie,inflammation r_has_causatif,r_has_causitif
arthralgie,inflammation r_has_causatif,r_has_causitif
arthrite,inflammation r_has_causatif,r_has_causitif
arthrose,degenerescence r_has_causatif,r_has_causitif
rhumatisme,inflammation r_has_causatif,r_has_causitif
polyarthrite,inflammation r_has_causatif,r_has_causitif
spondylarthrite,inflammation r_has_causatif,r_has_causitif
osteoporose,demineralisation r_has_causatif,r_has_causitif
osteomalacie,carence r_has_causatif,r_has_causitif
osteomyelite,infection r_has_causatif,r_has_causitif
periostite,inflammation r_has_causatif,r_has_causitif
tendinite,inflammation r_has_causatif,r_has_causitif
bursite,inflammation r_has_causatif,r_has_causitif
synovite,inflammation r_has_causatif,r_has_causitif
capsulite,inflammation r_has_causatif,r_has_causitif
epicondylite,inflammation r_has_causatif,r_has_causitif
periarthrite,inflammation r_has_causatif,r_has_causitif
myosite,inflammation r_has_causatif,r_has_causitif
fibromyalgie,sensibilisation r_has_causatif,r_has_causitif
lumbago,contraction r_has_causatif,r_has_causitif
sciatique,compression r_has_causatif,r_has_causitif
hernie,protrusion r_has_causatif,r_has_causitif
scoliose,deformation r_has_causatif,r_has_causitif
cyphose,deformation r_has_causatif,r_has_causitif
lordose,deformation r_has_causatif,r_has_causitif
torticolis,contraction r_has_causatif,r_has_causitif
cervicalgie,tension r_has_causatif,r_has_causitif
dorsalgie,tension r_has_causatif,r_has_causitif
lombalgie,tension r_has_causatif,r_has_causitif
cruralgie,compression r_has_causatif,r_has_causitif
nevralgie,irritation r_has_causatif,r_has_causitif
neuropathie,lesion r_has_causatif,r_has_causitif
polynevrite,intoxication r_has_causatif,r_has_causitif
nevrite,inflammation r_has_causatif,r_has_causitif
nevrose,anxiete r_has_causatif,r_has_causitif
angoisse,apprehension r_has_causatif,r_has_causitif
phobie,peur r_has_causatif,r_has_causitif
panique,peur r_has_causatif,r_has_causitif
stress,pression r_has_causatif,r_has_causitif
anxiete,incertitude r_has_causatif,r_has_causitif
depression,perte r_has_causatif,r_has_causitif
melancolie,perte r_has_causatif,r_has_causitif
tristesse,deception r_has_causatif,r_has_causitif
chagrin,perte r_has_causatif,r_has_causitif
deuil,perte r_has_causatif,r_has_causitif
trauma,agression r_has_causatif,r_has_causitif
choc,revelation r_has_causatif,r_has_causitif
sideration,stupeur r_has_causatif,r_has_causitif
stupeur,revelation r_has_causatif,r_has_causitif
confusion,desorientation r_has_causatif,r_has_causitif
desorientation,confusion r_has_causatif,r_has_causitif
egarement,confusion r_has_causatif,r_has_causitif
delire,fievre r_has_causatif,r_has_causitif
hallucination,intoxication r_has_causatif,r_has_causitif
illusion,perception r_has_causatif,r_has_causitif
obsession,fixation r_has_causatif,r_has_causitif
compulsion,obsession r_has_causatif,r_has_causitif
manie,excitation r_has_causatif,r_has_causitif
hysterie,emotion r_has_causatif,r_has_causitif
agitation,anxiete r_has_causatif,r_has_causitif
irritabilite,fatigue r_has_causatif,r_has_causitif
agressivite,frustration r_has_causatif,r_has_causitif
violence,frustration r_has_causatif,r_has_causitif
colere,frustration r_has_causatif,r_has_causitif
rage,frustration r_has_causatif,r_has_causitif
fureur,humiliation r_has_causatif,r_has_causitif
haine,offense r_has_causatif,r_has_causitif
rancune,offense r_has_causatif,r_has_causitif
ressentiment,injustice r_has_causatif,r_has_causitif
jalousie,comparaison r_has_causatif,r_has_causitif
envie,comparaison r_has_causatif,r_has_causitif
frustration,privation r_has_causatif,r_has_causitif
deception,attente r_has_causatif,r_has_causitif
desillusion,revelation r_has_causatif,r_has_causitif
amertume,deception r_has_causatif,r_has_causitif
regret,erreur r_has_causatif,r_has_causitif
remords,faute r_has_causatif,r_has_causitif
culpabilite,faute r_has_causatif,r_has_causitif
honte,humiliation r_has_causatif,r_has_causitif
humiliation,moquerie r_has_causatif,r_has_causitif
vexation,remarque r_has_causatif,r_has_causitif
offense,insulte r_has_causatif,r_has_causitif
affront,insulte r_has_causatif,r_has_causitif
insulte,provocation r_has_causatif,r_has_causitif
injure,provocation r_has_causatif,r_has_causitif
outrage,provocation r_has_causatif,r_has_causitif
calomnie,accusation r_has_causatif,r_has_causitif
diffamation,accusation r_has_causatif,r_has_causitif
medisance,rumeur r_has_causatif,r_has_causitif
rumeur,indiscretion r_has_causatif,r_has_causitif
scandale,revelation r_has_causatif,r_has_causitif
polemique,declaration r_has_causatif,r_has_causitif
controverse,affirmation r_has_causatif,r_has_causitif
dispute,divergence r_has_causatif,r_has_causitif
querelle,opposition r_has_causatif,r_has_causitif
conflit,opposition r_has_causatif,r_has_causitif
rivalite,competition r_has_causatif,r_has_causitif
concurrence,competition r_has_causatif,r_has_causitif
competition,rivalite r_has_causatif,r_has_causitif
lutte,opposition r_has_causatif,r_has_causitif
combat,agression r_has_causatif,r_has_causitif
bataille,guerre r_has_causatif,r_has_causitif
guerre,invasion r_has_causatif,r_has_causitif
invasion,agression r_has_causatif,r_has_causitif
conquete,invasion r_has_causatif,r_has_causitif
occupation,invasion r_has_causatif,r_has_causitif
annexion,conquete r_has_causatif,r_has_causitif
colonisation,conquete r_has_causatif,r_has_causitif
domination,conquete r_has_causatif,r_has_causitif
oppression,domination r_has_causatif,r_has_causitif
exploitation,domination r_has_causatif,r_has_causitif
esclavage,capture r_has_causatif,r_has_causitif
servitude,soumission r_has_causatif,r_has_causitif
soumission,menace r_has_causatif,r_has_causitif
obeissance,contrainte r_has_causatif,r_has_causitif
contrainte,menace r_has_causatif,r_has_causitif
coercition,menace r_has_causatif,r_has_causitif
intimidation,menace r_has_causatif,r_has_causitif
menace,hostilite r_has_causatif,r_has_causitif
chantage,menace r_has_causatif,r_has_causitif
extorsion,menace r_has_causatif,r_has_causitif
racket,menace r_has_causatif,r_has_causitif
vol,intrusion r_has_causatif,r_has_causitif
cambriolage,intrusion r_has_causatif,r_has_causitif
effraction,forcee r_has_causatif,r_has_causitif
vandalisme,destruction r_has_causatif,r_has_causitif
sabotage,destruction r_has_causatif,r_has_causitif
destruction,explosion r_has_causatif,r_has_causitif
demolition,explosion r_has_causatif,r_has_causitif
aneantissement,destruction r_has_causatif,r_has_causitif
ruine,destruction r_has_causatif,r_has_causitif
decombres,explosion r_has_causatif,r_has_causitif
gravats,demolition r_has_causatif,r_has_causitif
fragments,explosion r_has_causatif,r_has_causitif
eclats,explosion r_has_causatif,r_has_causitif
projectile,explosion r_has_causatif,r_has_causitif
shrapnel,explosion r_has_causatif,r_has_causitif
blessure,explosion r_has_causatif,r_has_causitif
mutilation,explosion r_has_causatif,r_has_causitif
amputation,explosion r_has_causatif,r_has_causitif
decapitation,explosion r_has_causatif,r_has_causitif
evisceration,explosion r_has_causatif,r_has_causitif
mort,explosion r_has_causatif,r_has_causitif
deces,maladie r_has_causatif,r_has_causitif
trepas,maladie r_has_causatif,r_has_causitif
agonie,maladie r_has_causatif,r_has_causitif
cadavre,mort r_has_causatif,r_has_causitif
depouille,mort r_has_causatif,r_has_causitif
corps,mort r_has_causatif,r_has_causitif
squelette,decomposition r_has_causatif,r_has_causitif
ossements,decomposition r_has_causatif,r_has_causitif
cendre,cremation r_has_causatif,r_has_causitif
poussiere,decomposition r_has_causatif,r_has_causitif
putrefaction,decomposition r_has_causatif,r_has_causitif
decomposition,mort r_has_causatif,r_has_causitif
momification,dessiccation r_has_causatif,r_has_causitif
fossilisation,mineralisation r_has_causatif,r_has_causitif
petrification,mineralisation r_has_causatif,r_has_causitif
fossilisation,sedimentation r_has_causatif,r_has_causitif
sedimentation,accumulation r_has_causatif,r_has_causitif
depot,sedimentation r_has_causatif,r_has_causitif
alluvion,crue r_has_causatif,r_has_causitif
limon,crue r_has_causatif,r_has_causitif
vase,stagnation r_has_causatif,r_has_causitif
boue,pluie r_has_causatif,r_has_causitif
gadoue,pluie r_has_causatif,r_has_causitif
fange,stagnation r_has_causatif,r_has_causitif
marecage,stagnation r_has_causatif,r_has_causitif
marais,stagnation r_has_causatif,r_has_causitif
tourbiere,accumulation r_has_causatif,r_has_causitif
tourbe,decomposition r_has_causatif,r_has_causitif
compost,decomposition r_has_causatif,r_has_causitif
humus,decomposition r_has_causatif,r_has_causitif
terreau,decomposition r_has_causatif,r_has_causitif
fertilisant,decomposition r_has_causatif,r_has_causitif
engrais,decomposition r_has_causatif,r_has_causitif
fumier,decomposition r_has_causatif,r_has_causitif
lisier,fermentation r_has_causatif,r_has_causitif
purin,maceration r_has_causatif,r_has_causitif
jus,pression r_has_causatif,r_has_causitif
suc,pression r_has_causatif,r_has_causitif
nectar,secretion r_has_causatif,r_has_causitif
miel,transformation r_has_causatif,r_has_causitif
cire,secretion r_has_causatif,r_has_causitif
propolis,secretion r_has_causatif,r_has_causitif
gelee,secretion r_has_causatif,r_has_causitif
lait,secretion r_has_causatif,r_has_causitif
creme,separation r_has_causatif,r_has_causitif
beurre,agitation r_has_causatif,r_has_causitif
fromage,fermentation r_has_causatif,r_has_causitif
yaourt,fermentation r_has_causatif,r_has_causitif
kefir,fermentation r_has_causatif,r_has_causitif
levain,fermentation r_has_causatif,r_has_causitif
levure,fermentation r_has_causatif,r_has_causitif
pain,cuisson r_has_causatif,r_has_causitif
mie,fermentation r_has_causatif,r_has_causitif
viennoiserie,cuisson r_has_causatif,r_has_causitif
patisserie,cuisson r_has_causatif,r_has_causitif
gateau,cuisson r_has_causatif,r_has_causitif
tarte,cuisson r_has_causatif,r_has_causitif
biscuit,cuisson r_has_causatif,r_has_causitif
cookie,cuisson r_has_causatif,r_has_causitif
crepe,cuisson r_has_causatif,r_has_causitif
galette,cuisson r_has_causatif,r_has_causitif
gaufre,cuisson r_has_causatif,r_has_causitif
omelette,cuisson r_has_causatif,r_has_causitif
souffle,cuisson r_has_causatif,r_has_causitif
meringue,cuisson r_has_causatif,r_has_causitif
caramel,caramelisation r_has_causatif,r_has_causitif
sucre,evaporation r_has_causatif,r_has_causitif
sirop,concentration r_has_causatif,r_has_causitif
confiture,cuisson r_has_causatif,r_has_causitif
marmelade,cuisson r_has_causatif,r_has_causitif
gelee,cuisson r_has_causatif,r_has_causitif
compote,cuisson r_has_causatif,r_has_causitif
puree,cuisson r_has_causatif,r_has_causitif
soupe,cuisson r_has_causatif,r_has_causitif
bouillon,cuisson r_has_causatif,r_has_causitif
consomme,reduction r_has_causatif,r_has_causitif
sauce,reduction r_has_causatif,r_has_causitif
coulis,cuisson r_has_causatif,r_has_causitif
roux,cuisson r_has_causatif,r_has_causitif
bechamel,cuisson r_has_causatif,r_has_causitif
veloute,cuisson r_has_causatif,r_has_causitif
creme,cuisson r_has_causatif,r_has_causitif
emulsion,agitation r_has_causatif,r_has_causitif
mayonnaise,emulsion r_has_causatif,r_has_causitif
vinaigrette,emulsion r_has_causatif,r_has_causitif
marinade,maceration r_has_causatif,r_has_causitif
saumure,dissolution r_has_causatif,r_has_causitif
salaison,impregnation r_has_causatif,r_has_causitif
conservation,salaison r_has_causatif,r_has_causitif
sechage,evaporation r_has_causatif,r_has_causitif
dessiccation,evaporation r_has_causatif,r_has_causitif
deshydratation,evaporation r_has_causatif,r_has_causitif
fumage,exposition r_has_causatif,r_has_causitif
cuisson,chaleur r_has_causatif,r_has_causitif
rotissage,chaleur r_has_causatif,r_has_causitif
grillage,chaleur r_has_causatif,r_has_causitif
friture,immersion r_has_causatif,r_has_causitif
carbonisation,combustion r_has_causatif,r_has_causitif
calcination,combustion r_has_causatif,r_has_causitif
charbon,carbonisation r_has_causatif,r_has_causitif
braise,combustion r_has_causatif,r_has_causitif
tison,combustion r_has_causatif,r_has_causitif
escarbille,combustion r_has_causatif,r_has_causitif
flammeche,combustion r_has_causatif,r_has_causitif
etincelle,friction r_has_causatif,r_has_causitif
flamme,combustion r_has_causatif,r_has_causitif
feu,combustion r_has_causatif,r_has_causitif
incendie,combustion r_has_causatif,r_has_causitif
brasier,combustion r_has_causatif,r_has_causitif
embrasement,propagation r_has_causatif,r_has_causitif
conflagration,propagation r_has_causatif,r_has_causitif
deflagration,combustion r_has_causatif,r_has_causitif
explosion,deflagration r_has_causatif,r_has_causitif
detonation,explosion r_has_causatif,r_has_causitif
souffle,explosion r_has_causatif,r_has_causitif
onde,explosion r_has_causatif,r_has_causitif
vibration,onde r_has_causatif,r_has_causitif
echo,reflexion r_has_causatif,r_has_causitif
repercussion,onde r_has_causatif,r_has_causitif
son,vibration r_has_causatif,r_has_causitif
elegance,mannequin r_has_property,r_has_property
rapidite,guepard r_has_property,r_has_property
courage,soldat r_has_property,r_has_property
douceur,miel r_has_property,r_has_property
finesse,bijou r_has_property,r_has_property
puissance,moteur r_has_property,r_has_property
agilite,chat r_has_property,r_has_property
