clé de porte | r_processus>instr-1
binette de la culture | r_processus>instr-1
sarcloir de la culture | r_processus>instr-1
ratisseau de la culture | r_processus>instr-1
fourche de la récolte | r_processus>instr-1
râteau de la collecte | r_processus>instr-1
faux de la fauche | r_processus>instr-1
faucille de la moisson | r_processus>instr-1
serpe de la taille | r_processus>instr-1
hache de la coupe | r_processus>instr-1
cognée de la coupe | r_processus>instr-1
merlin de la fente | r_processus>instr-1
masse de la frappe | r_processus>instr-1
maillet de la frappe | r_processus>instr-1
burin de la gravure | r_processus>instr-1
gouge de la sculpture | r_processus>instr-1
ciseau de la taille | r_processus>instr-1
compas de la mesure | r_processus>instr-1
équerre de la mesure | r_processus>instr-1
règle de la mesure | r_processus>instr-1
mètre de la mesure | r_processus>instr-1
niveau de la mesure | r_processus>instr-1
fil de la mesure | r_processus>instr-1
truelle de la pose | r_processus>instr-1
taloche de la pose | r_processus>instr-1
spatule de la pose | r_processus>instr-1
rouleau de la peinture | r_processus>instr-1
pinceau de la peinture | r_processus>instr-1
palette de la peinture | r_processus>instr-1
chevalet de la peinture | r_processus>instr-1
toile de la peinture | r_processus>instr-1
crayon de la écriture | r_processus>instr-1
fusain de la dessin | r_processus>instr-1
gomme de la correction | r_processus>instr-1
stylo de la écriture | r_processus>instr-1
plume de la écriture | r_processus>instr-1
encre de la écriture | r_processus>instr-1
papier de la écriture | r_processus>instr-1
cahier de la écriture | r_processus>instr-1
ardoise de la écriture | r_processus>instr-1
craie de la écriture | r_processus>instr-1
tableau de la écriture | r_processus>instr-1
ordinateur de la saisie | r_processus>instr-1
clavier de la frappe | r_processus>instr-1
souris de la navigation | r_processus>instr-1
écran de la visualisation | r_processus>instr-1
imprimante de la impression | r_processus>instr-1
scanner de la numérisation | r_processus>instr-1
photocopieuse de la copie | r_processus>instr-1
téléphone de la communication | r_processus>instr-1
micro de la captation | r_processus>instr-1
caméra de la captation | r_processus>instr-1
appareil de la prise | r_processus>instr-1
objectif de la prise | r_processus>instr-1
trépied de la stabilisation | r_processus>instr-1
flash de la illumination | r_processus>instr-1
projecteur de la illumination | r_processus>instr-1
lampe de la illumination | r_processus>instr-1
torche de la illumination | r_processus>instr-1
loupe de la observation | r_processus>instr-1
microscope de la observation | r_processus>instr-1
télescope de la observation | r_processus>instr-1
jumelles de la observation | r_processus>instr-1
boussole de la orientation | r_processus>instr-1
carte de la navigation | r_processus>instr-1
sextant de la navigation | r_processus>instr-1
gouvernail de la direction | r_processus>instr-1
rame de la propulsion | r_processus>instr-1
pagaie de la propulsion | r_processus>instr-1
aviron de la propulsion | r_processus>instr-1
voile de la propulsion | r_processus>instr-1
ancre de la fixation | r_processus>instr-1
filet de la capture | r_processus>instr-1
canne de la pêche | r_processus>instr-1
hameçon de la prise | r_processus>instr-1
appât de la pêche | r_processus>instr-1
nasse de la capture | r_processus>instr-1
harpon de la capture | r_processus>instr-1
fusil de la chasse | r_processus>instr-1
carabine de la chasse | r_processus>instr-1
arc de la chasse | r_processus>instr-1
flèche de la chasse | r_processus>instr-1
arbalète de la chasse | r_processus>instr-1
fronde de la projection | r_processus>instr-1
lance de la attaque | r_processus>instr-1
épée de la attaque | r_processus>instr-1
sabre de la attaque | r_processus>instr-1
fleuret de la attaque | r_processus>instr-1
poignard de la attaque | r_processus>instr-1
dague de la attaque | r_processus>instr-1
bouclier de la défense | r_processus>instr-1
casque de la protection | r_processus>instr-1
armure de la protection | r_processus>instr-1
cotte de la protection | r_processus>instr-1
heaume de la protection | r_processus>instr-1
clé d'allumage | r_processus>instr-1
clé d'ignition | r_processus>instr-1
clé d'ouverture | r_processus>instr-1
clé d'accès | r_processus>instr-1
tournevis d'assemblage | r_processus>instr-1
marteau d'enfoncement | r_processus>instr-1
scie d'ébranchage | r_processus>instr-1
couteau d'épluchage | r_processus>instr-1
cutter d'ouverture | r_processus>instr-1
ciseaux d'ébranchage | r_processus>instr-1
pince d'arrachage | r_processus>instr-1
tenaille d'arrachage | r_processus>instr-1
perceuse d'assemblage | r_processus>instr-1
rabot d'aplanissement | r_processus>instr-1
lime d'affûtage | r_processus>instr-1
râpe d'égalisation | r_processus>instr-1
brosse d'application | r_processus>instr-1
balai d'essuyage | r_processus>instr-1
serpillière d'essuyage | r_processus>instr-1
éponge d'absorption | r_processus>instr-1
chiffon d'essuyage | r_processus>instr-1
torchon d'essuyage | r_processus>instr-1
aspirateur d'aspiration | r_processus>instr-1
bêche d'excavation | r_processus>instr-1
pelle d'excavation | r_processus>instr-1
pioche d'excavation | r_processus>instr-1
houe d'ameublissement | r_processus>instr-1
binette d'ameublissement | r_processus>instr-1
sarcloir d'arrachage | r_processus>instr-1
ratisseau d'égalisation | r_processus>instr-1
fourche d'épandage | r_processus>instr-1
râteau d'égalisation | r_processus>instr-1
faux d'abattage | r_processus>instr-1
faucille d'abattage | r_processus>instr-1
serpe d'ébranchage | r_processus>instr-1
hache d'abattage | r_processus>instr-1
cognée d'abattage | r_processus>instr-1
merlin d'éclatement | r_processus>instr-1
masse d'écrasement | r_processus>instr-1
maillet d'enfoncement | r_processus>instr-1
burin d'entaillage | r_processus>instr-1
gouge d'évidement | r_processus>instr-1
ciseau d'entaillage | r_processus>instr-1
compas d'écartement | r_processus>instr-1
équerre d'alignement | r_processus>instr-1
règle d'alignement | r_processus>instr-1
mètre d'évaluation | r_processus>instr-1
niveau d'horizontalité | r_processus>instr-1
fil d'aplomb | r_processus>instr-1
truelle d'étalement | r_processus>instr-1
taloche d'étalement | r_processus>instr-1
spatule d'étalement | r_processus>instr-1
rouleau d'application | r_processus>instr-1
pinceau d'application | r_processus>instr-1
palette d'application | r_processus>instr-1
chevalet d'exposition | r_processus>instr-1
toile d'exposition | r_processus>instr-1
crayon d'esquisse | r_processus>instr-1
fusain d'esquisse | r_processus>instr-1
gomme d'effacement | r_processus>instr-1
stylo d'annotation | r_processus>instr-1
plume d'annotation | r_processus>instr-1
encre d'imprégnation | r_processus>instr-1
papier d'impression | r_processus>instr-1
cahier d'annotation | r_processus>instr-1
ardoise d'inscription | r_processus>instr-1
craie d'inscription | r_processus>instr-1
tableau d'affichage | r_processus>instr-1
ordinateur d'édition | r_processus>instr-1
clavier d'édition | r_processus>instr-1
souris d'édition | r_processus>instr-1
écran d'affichage | r_processus>instr-1
imprimante d'édition | r_processus>instr-1
scanner d'édition | r_processus>instr-1
photocopieuse d'édition | r_processus>instr-1
téléphone d'appel | r_processus>instr-1
micro d'enregistrement | r_processus>instr-1
caméra d'enregistrement | r_processus>instr-1
appareil d'enregistrement | r_processus>instr-1
objectif d'enregistrement | r_processus>instr-1
trépied d'exposition | r_processus>instr-1
flash d'exposition | r_processus>instr-1
projecteur d'exposition | r_processus>instr-1
lampe d'éclairage | r_processus>instr-1
torche d'éclairage | r_processus>instr-1
loupe d'examen | r_processus>instr-1
microscope d'examen | r_processus>instr-1
télescope d'examen | r_processus>instr-1
jumelles d'examen | r_processus>instr-1
boussole d'indication | r_processus>instr-1
carte d'indication | r_processus>instr-1
sextant d'orientation | r_processus>instr-1
gouvernail d'orientation | r_processus>instr-1
rame d'avancement | r_processus>instr-1
pagaie d'avancement | r_processus>instr-1
